Date,Region,Type,Units,Sales
2020-09-16,North,Women's Clothing,22.0,500
2020-09-14,North,Women's Clothing,13.0,72
2020-09-14,North,Children's Clothing,35.0,630
2020-09-13,North,Children's Clothing,30.0,429
2020-09-12,North,Children's Clothing,29.0,336
2020-09-11,North,Women's Clothing,5.0,1122
2020-09-08,North,Children's Clothing,31.0,120
2020-09-08,North,Children's Clothing,19.0,55
2020-09-08,North,Children's Clothing,26.0,105
2020-09-06,North,Women's Clothing,5.0,90
2020-09-06,North,Children's Clothing,7.0,121
2020-09-05,North,Children's Clothing,35.0,319
2020-09-04,North,Children's Clothing,3.0,184
2020-09-03,North,Women's Clothing,3.0,560
2020-09-03,North,Children's Clothing,5.0,324
2020-09-02,North,Children's Clothing,17.0,561
2020-08-31,North,Women's Clothing,7.0,589
2020-08-28,North,Women's Clothing,20.0,630
2020-08-26,North,Women's Clothing,31.0,961
2020-08-26,North,Women's Clothing,24.0,308
2020-08-23,North,Women's Clothing,22.0,336
2020-08-23,North,Women's Clothing,27.0,324
2020-08-21,North,Women's Clothing,25.0,77
2020-08-20,North,Women's Clothing,7.0,500
2020-08-20,North,Children's Clothing,18.0,378
2020-08-20,North,Children's Clothing,16.0,416
2020-08-20,North,Women's Clothing,3.0,84
2020-08-18,North,Children's Clothing,15.0,132
2020-08-17,North,Women's Clothing,25.0,300
2020-08-16,North,Children's Clothing,27.0,525
2020-08-14,North,Women's Clothing,7.0,154
2020-08-14,North,Children's Clothing,34.0,1088
2020-08-13,North,Women's Clothing,20.0,208
2020-08-13,North,Women's Clothing,21.0,910
2020-08-10,North,Children's Clothing,22.0,242
2020-08-08,North,Women's Clothing,17.0,168
2020-08-03,North,Children's Clothing,7.0,918
2020-08-01,North,Women's Clothing,18.0,57
2020-07-30,North,Children's Clothing,10.0,210
2020-07-30,North,Children's Clothing,34.0,990
2020-07-28,North,Children's Clothing,19.0,285
2020-07-25,North,Women's Clothing,16.0,475
2020-07-23,North,Women's Clothing,4.0,216
2020-07-23,North,Children's Clothing,31.0,620
2020-07-22,North,Women's Clothing,28.0,76
2020-07-22,North,Children's Clothing,34.0,348
2020-07-21,North,Women's Clothing,19.0,280
2020-07-17,North,Children's Clothing,27.0,837
2020-07-14,North,Children's Clothing,25.0,126
2020-07-13,North,Women's Clothing,15.0,375
2020-07-13,North,Children's Clothing,34.0,575
2020-07-11,North,Women's Clothing,22.0,270
2020-07-10,North,Children's Clothing,14.0,264
2020-07-08,North,Women's Clothing,23.0,276
2020-07-06,North,Children's Clothing,7.0,189
2020-07-04,North,Women's Clothing,11.0,529
2020-07-03,North,Women's Clothing,18.0,440
2020-07-03,North,Women's Clothing,4.0,1089
2020-07-02,North,Women's Clothing,14.0,330
2020-06-30,North,Children's Clothing,6.0,690
2020-06-25,North,Women's Clothing,5.0,644
2020-06-23,North,Women's Clothing,20.0,390
2020-06-23,North,Women's Clothing,12.0,192
2020-06-21,North,Women's Clothing,23.0,528
2020-06-20,North,Women's Clothing,20.0,486
2020-06-16,North,Women's Clothing,34.0,884
2020-06-14,North,Children's Clothing,6.0,208
2020-06-11,North,Women's Clothing,23.0,496
2020-06-11,North,Women's Clothing,17.0,156
2020-06-10,North,Children's Clothing,22.0,875
2020-06-09,North,Children's Clothing,7.0,192
2020-06-09,North,Women's Clothing,26.0,644
2020-06-06,North,Women's Clothing,12.0,928
2020-06-01,North,Women's Clothing,17.0,450
2020-06-01,North,Women's Clothing,27.0,495
2020-05-31,North,Women's Clothing,28.0,306
2020-05-31,North,Women's Clothing,7.0,231
2020-05-31,North,Women's Clothing,8.0,351
2020-05-30,North,Women's Clothing,16.0,99
2020-05-29,North,Women's Clothing,18.0,522
2020-05-26,North,Women's Clothing,26.0,240
2020-05-26,North,Women's Clothing,11.0,336
2020-05-26,North,Women's Clothing,10.0,782
2020-05-25,North,Women's Clothing,23.0,56
2020-05-21,North,Women's Clothing,35.0,135
2020-05-21,North,Children's Clothing,31.0,480
2020-05-20,North,Children's Clothing,27.0,161
2020-05-20,North,Children's Clothing,32.0,546
2020-05-19,North,Children's Clothing,29.0,560
2020-05-19,North,Women's Clothing,17.0,221
2020-05-17,North,Women's Clothing,17.0,544
2020-05-16,North,Women's Clothing,34.0,112
2020-05-14,North,Women's Clothing,5.0,160
2020-05-14,North,Children's Clothing,8.0,1015
2020-05-12,North,Children's Clothing,29.0,182
2020-05-04,North,Women's Clothing,19.0,247
2020-05-03,North,Women's Clothing,13.0,310
2020-05-02,North,Children's Clothing,15.0,198
2020-05-02,North,Children's Clothing,28.0,182
2020-05-01,North,Children's Clothing,31.0,837
2020-04-30,North,Women's Clothing,21.0,525
2020-04-28,North,Children's Clothing,34.0,99
2020-04-28,North,Children's Clothing,35.0,297
2020-04-27,North,Women's Clothing,31.0,792
2020-04-26,North,Children's Clothing,35.0,490
2020-04-24,North,Women's Clothing,21.0,391
2020-04-20,North,Children's Clothing,24.0,744
2020-04-20,North,Women's Clothing,3.0,336
2020-04-20,North,Children's Clothing,32.0,595
2020-04-15,North,Children's Clothing,35.0,374
2020-04-14,North,Women's Clothing,4.0,468
2020-04-13,North,Women's Clothing,26.0,713
2020-04-10,North,Children's Clothing,11.0,651
2020-04-09,North,Women's Clothing,3.0,42
2020-04-08,North,Women's Clothing,18.0,638
2020-04-08,North,Women's Clothing,9.0,372
2020-04-06,North,Children's Clothing,34.0,319
2020-04-06,North,Women's Clothing,13.0,216
2020-04-05,North,Children's Clothing,29.0,775
2020-04-05,North,Children's Clothing,30.0,418
2020-04-02,North,Children's Clothing,28.0,195
2020-03-25,North,Children's Clothing,24.0,396
2020-03-22,North,Women's Clothing,15.0,575
2020-03-21,North,Women's Clothing,14.0,483
2020-03-14,North,Women's Clothing,3.0,552
2020-03-11,North,Women's Clothing,7.0,756
2020-03-10,North,Women's Clothing,31.0,225
2020-03-07,North,Women's Clothing,11.0,363
2020-03-06,North,Children's Clothing,6.0,352
2020-03-03,North,Women's Clothing,14.0,435
2020-02-28,North,Women's Clothing,14.0,420
2020-02-26,North,Women's Clothing,23.0,266
2020-02-24,North,Women's Clothing,7.0,115
2020-02-24,North,Women's Clothing,11.0,546
2020-02-22,North,Children's Clothing,3.0,416
2020-02-19,North,Women's Clothing,33.0,168
2020-02-16,North,Women's Clothing,14.0,378
2020-02-15,North,Women's Clothing,4.0,380
2020-02-15,North,Women's Clothing,13.0,120
2020-02-13,North,Children's Clothing,15.0,200
2020-02-12,North,Women's Clothing,29.0,522
2020-02-12,North,Women's Clothing,28.0,364
2020-02-10,North,Women's Clothing,31.0,480
2020-02-08,North,Women's Clothing,17.0,308
2020-02-07,North,Women's Clothing,16.0,165
2020-02-05,North,Women's Clothing,33.0,627
2020-02-04,North,Women's Clothing,26.0,660
2020-02-03,North,Women's Clothing,15.0,961
2020-02-01,North,Women's Clothing,26.0,525
2020-01-30,North,Children's Clothing,9.0,350
2020-01-27,North,Children's Clothing,23.0,420
2020-01-27,North,Women's Clothing,10.0,729
2020-01-25,North,Women's Clothing,5.0,957
2020-01-22,North,Women's Clothing,7.0,783
2020-01-22,North,Women's Clothing,23.0,276
2020-01-21,North,Children's Clothing,24.0,408
2020-01-20,North,Women's Clothing,26.0,250
2020-01-19,North,Children's Clothing,18.0,390
2020-01-17,North,Women's Clothing,33.0,319
2020-01-17,North,Children's Clothing,25.0,825
2020-01-14,North,Women's Clothing,8.0,726
2020-01-13,North,Children's Clothing,27.0,99
2020-01-09,North,Women's Clothing,3.0,682
2020-01-08,North,Women's Clothing,18.0,1054
2020-01-07,North,Women's Clothing,34.0,147
2020-01-05,North,Women's Clothing,18.0,960
2020-01-04,North,Women's Clothing,19.0,361
2020-01-03,North,Children's Clothing,18.0,486
2020-12-27,South,Men's Clothing,31.0,560
2020-12-26,South,Women's Clothing,24.0,150
2020-12-19,South,Men's Clothing,16.0,864
2020-12-17,South,Children's Clothing,10.0,200
2020-12-17,South,Men's Clothing,31.0,81
2020-12-16,South,Women's Clothing,5.0,360
2020-12-14,South,Women's Clothing,25.0,348
2020-12-13,South,Women's Clothing,26.0,416
2020-12-11,South,Women's Clothing,13.0,429
2020-11-25,South,Children's Clothing,8.0,841
2020-11-25,South,Children's Clothing,32.0,84
2020-11-24,South,Men's Clothing,25.0,540
2020-11-22,South,Children's Clothing,28.0,182
2020-11-15,South,Women's Clothing,31.0,98
2020-11-04,South,Men's Clothing,28.0,868
2020-11-03,South,Men's Clothing,13.0,480
2020-11-03,South,Men's Clothing,3.0,351
2020-11-02,South,Children's Clothing,35.0,156
2020-11-01,South,Men's Clothing,10.0,455
2020-10-31,South,Children's Clothing,29.0,144
2020-10-31,South,Children's Clothing,32.0,504
2020-10-26,South,Children's Clothing,30.0,408
2020-10-15,South,Children's Clothing,21.0,117
2020-10-15,South,Women's Clothing,22.0,527
2020-10-11,South,Children's Clothing,18.0,51
2020-10-06,South,Children's Clothing,24.0,832
2020-10-04,South,Children's Clothing,33.0,891
2020-10-04,South,Children's Clothing,4.0,186
2020-10-01,South,Men's Clothing,4.0,728
2020-09-30,South,Women's Clothing,12.0,396
2020-09-28,South,Men's Clothing,21.0,609
2020-09-27,South,Women's Clothing,34.0,616
2020-09-25,South,Children's Clothing,34.0,99
2020-09-15,South,Children's Clothing,16.0,416
2020-09-13,South,Women's Clothing,29.0,392
2020-09-11,South,Children's Clothing,15.0,832
2020-09-04,South,Men's Clothing,34.0,1085
2020-09-01,South,Men's Clothing,11.0,175
2020-08-31,South,Men's Clothing,13.0,208
2020-08-30,South,Children's Clothing,5.0,420
2020-08-30,South,Women's Clothing,11.0,100
2020-08-28,South,Women's Clothing,7.0,192
2020-08-27,South,Children's Clothing,23.0,494
2020-08-23,South,Children's Clothing,14.0,495
2020-08-23,South,Children's Clothing,35.0,750
2020-08-23,South,Women's Clothing,17.0,493
2020-08-19,South,Women's Clothing,28.0,696
2020-08-18,South,Women's Clothing,20.0,341
2020-08-18,South,Women's Clothing,7.0,200
2020-08-06,South,Women's Clothing,26.0,546
2020-07-30,South,Children's Clothing,18.0,486
2020-07-24,South,Children's Clothing,33.0,48
2020-07-23,South,Women's Clothing,20.0,330
2020-07-23,South,Men's Clothing,27.0,351
2020-07-19,South,Children's Clothing,20.0,352
2020-07-16,South,Women's Clothing,30.0,55
2020-07-12,South,Women's Clothing,26.0,729
2020-07-10,South,Men's Clothing,18.0,207
2020-07-09,South,Men's Clothing,15.0,924
2020-07-09,South,Men's Clothing,21.0,128
2020-07-05,South,Women's Clothing,21.0,231
2020-07-04,South,Women's Clothing,4.0,150
2020-07-04,South,Children's Clothing,33.0,348
2020-07-01,South,Women's Clothing,22.0,468
2020-06-30,South,Children's Clothing,30.0,572
2020-06-23,South,Women's Clothing,15.0,348
2020-06-20,South,Men's Clothing,20.0,638
2020-06-11,South,Men's Clothing,9.0,700
2020-06-07,South,Children's Clothing,35.0,247
2020-06-03,South,Men's Clothing,23.0,357
2020-06-03,South,Men's Clothing,22.0,207
2020-06-02,South,Women's Clothing,30.0,552
2020-05-30,South,Men's Clothing,9.0,143
2020-05-28,South,Women's Clothing,13.0,1122
2020-05-26,South,Children's Clothing,27.0,96
2020-05-19,South,Children's Clothing,13.0,104
2020-05-19,South,Men's Clothing,5.0,720
2020-05-18,South,Children's Clothing,4.0,729
2020-05-17,South,Women's Clothing,17.0,90
2020-05-17,South,Men's Clothing,24.0,266
2020-05-16,South,Children's Clothing,28.0,529
2020-05-16,South,Women's Clothing,18.0,90
2020-05-13,South,Children's Clothing,33.0,520
2020-05-11,South,Children's Clothing,27.0,297
2020-05-06,South,Women's Clothing,13.0,288
2020-05-02,South,Women's Clothing,4.0,363
2020-04-25,South,Women's Clothing,11.0,729
2020-04-24,South,Children's Clothing,18.0,600
2020-04-23,South,Women's Clothing,34.0,680
2020-04-23,South,Women's Clothing,29.0,450
2020-04-20,South,Men's Clothing,26.0,832
2020-04-16,South,Women's Clothing,16.0,352
2020-04-16,South,Women's Clothing,33.0,180
2020-04-15,South,Women's Clothing,25.0,750
2020-04-14,South,Children's Clothing,13.0,270
2020-04-11,South,Women's Clothing,30.0,640
2020-04-03,South,Women's Clothing,23.0,360
2020-04-02,South,Women's Clothing,17.0,425
2020-04-01,South,Children's Clothing,12.0,176
2020-03-31,South,Women's Clothing,27.0,186
2020-03-31,South,Men's Clothing,21.0,323
2020-03-30,South,Children's Clothing,16.0,896
2020-03-29,South,Men's Clothing,18.0,216
2020-03-29,South,Men's Clothing,19.0,375
2020-03-27,South,Men's Clothing,11.0,300
2020-03-25,South,Women's Clothing,4.0,640
2020-03-23,South,Men's Clothing,29.0,522
2020-03-17,South,Children's Clothing,33.0,924
2020-03-16,South,Women's Clothing,22.0,315
2020-03-12,South,Men's Clothing,25.0,115
2020-03-04,South,Children's Clothing,27.0,756
2020-03-03,South,Men's Clothing,18.0,512
2020-02-29,South,Women's Clothing,10.0,434
2020-02-28,South,Women's Clothing,21.0,627
2020-02-25,South,Women's Clothing,35.0,288
2020-02-24,South,Men's Clothing,8.0,1056
2020-02-24,South,Children's Clothing,13.0,336
2020-02-23,South,Men's Clothing,7.0,84
2020-02-23,South,Men's Clothing,24.0,624
2020-02-18,South,Children's Clothing,21.0,462
2020-02-12,South,Children's Clothing,25.0,408
2020-02-12,South,Women's Clothing,34.0,759
2020-02-12,South,Children's Clothing,19.0,598
2020-02-09,South,Women's Clothing,8.0,754
2020-02-08,South,Men's Clothing,28.0,512
2020-02-06,South,Women's Clothing,29.0,630
2020-01-24,South,Women's Clothing,12.0,396
2020-01-17,South,Women's Clothing,12.0,208
2020-01-16,South,Men's Clothing,18.0,289
2020-01-15,South,Women's Clothing,13.0,429
2020-01-12,South,Children's Clothing,31.0,192
2020-01-10,South,Men's Clothing,6.0,651
2020-01-09,South,Women's Clothing,28.0,105
2020-01-08,South,Men's Clothing,34.0,486
2020-01-03,South,Children's Clothing,16.0,198
2020-01-03,South,Children's Clothing,26.0,324
2020-01-03,South,Women's Clothing,13.0,750
